brand,product_count,avg_price
Douceur d'intérieur,1,26.99
Wüsthof,1,26.99
AREOUT,1,26.99
Music Legs,1,26.97
Egeria,1,26.95
Funny Fashion,1,26.9
GUGGEN Mountain,1,26.9
GalaxyCat,1,26.9
ENDURANCE,1,26.9
Disney Cars 3,1,26.87
Krebs Glas Lauscha,1,26.38
Alvi®,1,25.95
SPS,1,25.9
Jana.Shop,1,25.9
Mehrwegtoner,1,25.69
COLLEZIONE ALESSANDRO,1,25.32
Goula,1,25.0
Bethesda,1,24.99
CECEBA,1,24.99
Mariall,1,24.99
Tazzio,1,24.99
Maisto®,1,24.99
Samsung,1,24.95
Apricot,1,24.95
Fila,1,24.95
Prime Time Toys,1,24.95
Mason Cash,1,24.95
Herbertz,1,24.95
Chipolo,1,24.95
Der Trachtler,1,24.95
Mey,1,24.9
Ritzenhoff,1,24.82
You2Toys,1,24.01
THAT GORILLA BRAND,1,23.99
Delien,1,23.99
Carrera®,1,23.99
Tetra,1,23.98
FeelGlad,1,23.98
Creavit,1,23.9
DanDiBo,1,23.89
nevox,1,23.48
EBI,1,23.18
Pauleen,1,23.02
WWF,1,22.99
Vivance Dreams,1,22.99
Sanetta PURE,1,22.99
Linoows,1,22.95
Procyon,1,22.95
F4NT4STIC,1,22.95
my Hamam,1,22.95
Casa Colori,1,22.9
One Home,1,22.9
EASYmaxx,1,22.9
cover-your-desk.de,1,22.8
Hunter Tierbedarf,1,22.5
Dreams,1,22.48
Bric's,1,22.26
ZEP,1,22.15
Lentz,1,21.99
UGREEN,1,21.99
People Wear Organic,1,21.95
Mars & More,1,21.89
Lux Fetish,1,21.77
IITTALA,1,21.69
Creano,1,21.55
mamino Kindermode,1,21.49
Fiskars,1,21.49
Maxwell & Williams,1,21.01
AEG,1,20.99
5five Simply Smart,1,20.99
Vero Moda Curve,1,20.99
Love Story,1,20.99
styleBREAKER,1,20.95
HOSSNER - HOMECOLLECTION,1,20.68
NOBO,1,20.43
Planam,1,20.23
sunlines,1,20.07
Dekohelden24,1,20.0
Classic,1,20.0
Youth Designz,1,19.99
Alena,1,19.99
L'ORÉAL PARIS,1,19.99
nielsen,1,19.99
LERROS,1,19.99
#proinventive,1,19.99
wometo,1,19.99
AvaMia,1,19.99
BeebeeRun,1,19.99
Sanetta,1,19.99
Paolo Renzo,1,19.99
IBETTER,1,19.99
Sansibar Sylt,1,19.95
PiP Studio,1,19.95
Quiksilver,1,19.95
BONDI,1,19.95
Limana,1,19.95
MisterTee,1,19.9
Mosgo Fashion,1,19.9
petit amour,1,19.9
Vitabo,1,19.9
GRÄWE,1,19.9
schmuck23,1,19.9
Hamburger Weihnachtskontor,1,19.7
Jennifer Jones,1,19.54
Wilckens Farben,1,18.99
HR GRIP,1,18.99
Jiubiaz,1,18.99
Panco,1,18.99
wuuhoo,1,18.99
Vago®-Toys,1,18.99
Bburago,1,18.99
Excellent,1,18.98
ib style,1,18.95
Amello,1,18.92
Zeeme,1,18.9
Briloner Leuchten,1,18.48
Sara Lindholm,1,17.99
Westernlifestyle,1,17.9
Megaman Jeans,1,17.9
like. by Villeroy & Boch,1,17.9
LingaDore,1,17.9
Only,1,17.9
DARKZONE,1,17.9
AM Design,1,17.9
Milwaukee,1,17.85
Möve,1,17.55
Rosnek,1,17.49
Consalnet,1,17.47
KIDSWORLD,1,16.99
LETGOSPT,1,16.99
Heless,1,16.99
WOOD FELLAS,1,16.99
Ambiente Haus,1,16.99
bremermann,1,16.91
safta,1,16.9
von Lilienfeld,1,16.9
DUR-line,1,16.9
Macma,1,16.9
Vimoda,1,16.79
Fantashion,1,16.0
Buckley London,1,16.0
Schildkröt,1,15.99
Dehner,1,15.99
Guido Maria Kretschmer Home&Living,1,15.99
Baby’s Only,1,15.95
Wiedemann Kerzen,1,15.6
ZIPIT,1,15.59
Gravidus,1,15.59
Mustela,1,15.56
Bolsius,1,15.49
Happy People,1,15.49
Rösle,1,15.15
ARZBERG,1,15.0
Nici,1,14.99
Ty®,1,14.99
Sehrazat,1,14.99
TRIXIE,1,14.99
Fritzi aus Preußen,1,14.95
KHE,1,14.95
Fubu,1,14.95
KS Laserdesign,1,14.95
Craft,1,14.95
H.A.D. Originals,1,14.95
DRUCK-EXPERT,1,14.9
Lindner Original,1,14.9
my home,1,14.64
AVERY,1,14.32
DIY Element System,1,14.05
LEITZ,1,14.01
MORRENT,1,13.99
Feuerwehrmann Sam,1,13.95
Kreher,1,13.58
Thomas Porzellan,1,13.5
Step by Step,1,12.99
Hometex Premium Textiles,1,12.99
bb Klostermann,1,12.99
Oral B,1,12.99
BEZLIT,1,12.95
Goods+Gadgets,1,12.95
Staubsaugerladen.de Ihr Partner für Geräte und Zubehör,1,12.95
WinCraft,1,12.9
JW Pet,1,12.57
Jotaca,1,11.99
durex,1,11.99
Gillette,1,11.99
TRENDY AND NEW,1,11.97
FoxOutdoor,1,11.9
Vero Moda,1,11.9
EDCO,1,11.83
VALUE,1,11.8
ABUS,1,11.07
conecto,1,10.99
SES Creative,1,10.99
Just Bridge Entertainment,1,10.49
REDBEST,1,10.49
Ridder,1,10.47
Artwizz,1,9.99
LIVING DREAMS,1,9.99
MAX FACTOR,1,9.99
Moritz,1,9.99
CAGO,1,9.99
mtb more energy,1,9.99
IDIMEX,1,9.98
CoverKingz,1,8.99
cofi1453,1,8.99
Dr. Oetker,1,8.49
PYRAMID,1,7.99
VHG,1,7.99
AlphaCool,1,7.98
Delindo Lifestyle,1,6.99
HTI-Line,1,6.99
Henzo,1,6.95
Hama,1,6.9
4smarts,1,6.79
soma,1,5.99
Monkimau,1,5.9
Lüttenhütt,1,5.5
Catch the Patch,1,5.49
Dooloo,1,5.45
Inline,1,5.19
IDEAL TREND,1,4.99
Frau WUNDERVoll,1,4.98
Shoeboys,1,4.95
Birkmann,1,4.83
S-Conn,1,4.58
Mono-Quick,1,3.99
Kopp,1,3.5
STABILO,1,2.35
deleyCON,1,2.25
